S.No,User_ID,Cust_name,Product_ID,Gender,Age Group,Age,age group name,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
1,1004037,Etezadi,P00190542,M,51-55,54,Pre Seniors Adult,1,Andhra Pradesh,Southern,Govt,Hand & Power Tools,2,23434
2,1003267,Trupti,P00144242,M,26-35,30,Early Adults,1,Uttar Pradesh,Central,Banking,Hand & Power Tools,2,23246
3,1005493,Stewart,P00036242,M,36-45,45,Mid Adults,1,Andhra Pradesh,Southern,Agriculture,Hand & Power Tools,3,23160
4,1003745,Shivani,P00220042,M,26-35,29,Early Adults,0,Haryana,Northern,IT Sector,Stationery,2,21563
5,1001884,Eugene,P00339042,F,46-50,47,Late Mid Adults,0,Delhi,Central,Textile,Stationery,1,21547
6,1001804,Ishit,P00000642,F,26-35,35,Early Adults,0,Delhi,Central,Lawyer,Stationery,1,21533
7,1005359,Schwarz,P00302742,F,18-25,22,Young,1,Delhi,Central,Media,Stationery,1,21503
8,1000151,Sujay,P00150342,M,26-35,34,Early Adults,1,Karnataka,Southern,IT Sector,Stationery,2,21495
9,1001389,Smriti,P00261542,F,26-35,33,Early Adults,1,Delhi,Central,Agriculture,Stationery,3,21463
10,1002665,Champaklata,P00261842,F,36-45,36,Mid Adults,0,Delhi,Central,IT Sector,Stationery,4,21427
11,1002496,Patil,P00114042,F,51-55,52,Pre Seniors Adult,0,Delhi,Central,IT Sector,Stationery,4,21423
12,1001442,Atharv,P00145042,M,18-25,18,Young,1,Delhi,Central,Construction,Stationery,2,21401
13,1000379,Thais,P00121642,M,36-45,39,Mid Adults,0,Maharashtra,Western,Healthcare,Stationery,3,21397
14,1003916,Surabhi,P00003242,M,26-35,34,Early Adults,1,Delhi,Central,Agriculture,Stationery,4,21388
15,1001687,Bruce,P00265242,F,26-35,33,Early Adults,0,Maharashtra,Western,Govt,Stationery,4,21325
16,1000423,Saurabh,P00046742,M,18-25,21,Young,0,Delhi,Central,Automobile,Stationery,2,21320
17,1002395,Vaibhavi,P00220342,F,36-45,38,Mid Adults,1,Delhi,Central,Aviation,Stationery,2,21317
18,1004728,Larry,P00037042,F,26-35,28,Early Adults,0,Delhi,Central,IT Sector,Stationery,4,21293
19,1005054,Parhena,P0096542,F,36-45,37,Mid Adults,0,Delhi,Central,Hospitality,Stationery,1,21266
20,1004489,Pete,P00216742,M,18-25,20,Young,0,Delhi,Central,Construction,Stationery,1,21259
21,1001865,Cyra,P00213742,M,18-25,23,Young,1,Kerala,Southern,Media,Stationery,2,21246
22,1003022,Rozendal,P00130742,F,26-35,34,Early Adults,0,Delhi,Central,Banking,Stationery,4,21218
23,1001657,Jack,P00248442,M,46-50,49,Late Mid Adults,0,Andhra Pradesh,Southern,Govt,Stationery,2,21178
24,1003751,Victor,P00129542,M,36-45,38,Mid Adults,1,Karnataka,Southern,Media,Stationery,1,21178
25,1000179,Debra,P00261642,F,26-35,30,Early Adults,0,Delhi,Central,Aviation,Stationery,4,21152
26,1000438,Bhosale,P00182542,F,18-25,25,Young,0,Madhya Pradesh,Central,IT Sector,Tupperware,2,21079
27,1003618,Keshav,P00248942,M,18-25,19,Young,1,Maharashtra,Western,Media,Tupperware,1,21058
28,1003415,Arsheen,P00152742,M,36-45,42,Mid Adults,0,Delhi,Central,Hospitality,Stationery,1,21039
29,1002485,Kaydos,P00302342,F,36-45,38,Mid Adults,1,Gujarat,Western,Media,Tupperware,3,21013
30,1001495,Fjeld,P00064042,F,18-25,21,Young,1,Delhi,Central,IT Sector,Stationery,4,21009
